#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,NorthAmerica,"7,426,205","+16,365","273,793","+1,130","4,292,195","+6,726","2,860,217","19,382",,,,,,NorthAmerica,,,
,SouthAmerica,"6,389,282",+669,"204,721",+126,"5,028,219","+8,870","1,156,342","15,238",,,,,,SouthAmerica,,,
,Asia,"7,266,340","+77,851","145,247","+1,160","5,832,330","+64,220","1,288,763","18,821",,,,,,Asia,,,
,Europe,"3,628,810","+17,495","208,478",+304,"2,096,891","+10,133","1,323,441","5,789",,,,,,Europe,,,
,Africa,"1,265,750","+1,333","30,127",+23,"1,002,850",+296,"232,773","1,278",,,,,,Africa,,,
,Oceania,"28,765",+109,692,+6,"23,779",+195,"4,294",35,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,"26,005,873","+113,822","863,073","+2,749","18,276,915","+90,440","6,865,885","60,547","3,336",110.7,,,,All,,,
1,USA,"6,266,023","+8,452","189,170",+270,"3,498,334","+1,421","2,578,519","15,080","18,911",571,"83,431,636","251,804","331,335,757",NorthAmerica,53,"1,752",4
2,Brazil,"3,952,790",,"122,681",,"3,159,096",,"671,013","8,318","18,574",576,"14,352,484","67,440","212,817,864",SouthAmerica,54,"1,735",15
3,India,"3,823,449","+57,341","67,155",+695,"2,946,920","+47,399","809,374","8,944","2,766",49,"44,337,201","32,075","1,382,308,045",Asia,362,"20,584",31
4,Russia,"1,005,000","+4,952","17,414",+115,"821,169","+5,464","166,417","2,300","6,886",119,"37,100,000","254,205","145,945,354",Europe,145,"8,381",4
5,Peru,"657,129",,"29,068",,"471,599",,"156,462","1,493","19,884",880,"3,233,034","97,826","33,048,955",SouthAmerica,50,"1,137",10
6,SouthAfrica,"628,259",,"14,263",,"549,993",,"64,003",539,"10,571",240,"3,705,408","62,344","59,434,682",Africa,95,"4,167",16
7,Colombia,"624,069",,"20,052",,"469,557",,"134,460","1,493","12,243",393,"2,777,107","54,480","50,974,767",SouthAmerica,82,"2,542",18
